Probe	Chr	Start	End
Chr1:147152287-147152474 UNK (188 bp)	1	147152287	147152474
Chr1:147193963-147194180 UNK (218 bp)	1	147193963	147194180
Chr1:147230610-147230854 UNK (245 bp)	1	147230610	147230854
Chr1:147325554-147325744 UNK (191 bp)	1	147325554	147325744
Chr1:147460029-147460195 UNK (167 bp)	1	147460029	147460195
Chr1:147531404-147531632 UNK (229 bp)	1	147531404	147531632
Chr1:147874516-147874845 UNK (330 bp)	1	147874516	147874845
Chr1:147948773-147948977 UNK (205 bp)	1	147948773	147948977
Chr1:148503996-148504237 UNK (242 bp)	1	148503996	148504237
Chr1:151600051-151600280 UNK (230 bp)	1	151600051	151600280
Chr1:152550286-152550605 UNK (320 bp)	1	152550286	152550605
Chr1:153005428-153005639 UNK (212 bp)	1	153005428	153005639
Chr1:153006340-153006515 UNK (176 bp)	1	153006340	153006515
Chr1:153108117-153108306 UNK (190 bp)	1	153108117	153108306
Chr1:153442925-153443159 UNK (235 bp)	1	153442925	153443159
Chr1:153454386-153454613 UNK (228 bp)	1	153454386	153454613
Chr1:154125840-154126033 UNK (194 bp)	1	154125840	154126033
Chr1:154710954-154711176 UNK (223 bp)	1	154710954	154711176
Chr1:154978998-154979176 UNK (179 bp)	1	154978998	154979176
Chr1:155642787-155642963 UNK (177 bp)	1	155642787	155642963
Chr1:156557478-156557657 UNK (180 bp)	1	156557478	156557657
Chr1:157256017-157256197 UNK (181 bp)	1	157256017	157256197
Chr1:157256515-157256732 UNK (218 bp)	1	157256515	157256732
Chr1:157258628-157258822 UNK (195 bp)	1	157258628	157258822
Chr1:158102523-158102763 UNK (241 bp)	1	158102523	158102763
Chr1:158315490-158315683 UNK (194 bp)	1	158315490	158315683
Chr1:158761252-158761423 UNK (172 bp)	1	158761252	158761423
Chr1:158956801-158957051 UNK (251 bp)	1	158956801	158957051
Chr1:159149597-159149767 UNK (171 bp)	1	159149597	159149767
Chr1:159235687-159235978 UNK (292 bp)	1	159235687	159235978
Chr1:159327301-159327506 UNK (206 bp)	1	159327301	159327506
Chr1:159453440-159453670 UNK (231 bp)	1	159453440	159453670
Chr1:159543755-159543911 UNK (157 bp)	1	159543755	159543911
Chr1:159573894-159574082 UNK (189 bp)	1	159573894	159574082
Chr1:159607056-159607268 UNK (213 bp)	1	159607056	159607268
Chr1:160689174-160689676 UNK (503 bp)	1	160689174	160689676
Chr1:160788035-160788282 UNK (248 bp)	1	160788035	160788282
Chr1:161803910-161804110 UNK (201 bp)	1	161803910	161804110
Chr1:161830911-161831231 UNK (321 bp)	1	161830911	161831231
Chr1:162099977-162100184 UNK (208 bp)	1	162099977	162100184
Chr1:162312381-162312725 UNK (345 bp)	1	162312381	162312725
Chr1:162452086-162452324 UNK (239 bp)	1	162452086	162452324
Chr1:162453686-162453915 UNK (230 bp)	1	162453686	162453915
Chr1:162738461-162738640 UNK (180 bp)	1	162738461	162738640
Chr1:162807619-162807831 UNK (213 bp)	1	162807619	162807831
Chr1:162809818-162810030 UNK (213 bp)	1	162809818	162810030
Chr1:162810219-162810395 UNK (177 bp)	1	162810219	162810395
Chr1:163254330-163254490 UNK (161 bp)	1	163254330	163254490
Chr1:163642255-163642567 UNK (313 bp)	1	163642255	163642567
Chr1:163750932-163751189 UNK (258 bp)	1	163750932	163751189
Chr1:163753916-163754092 UNK (177 bp)	1	163753916	163754092
Chr1:163755326-163755556 UNK (231 bp)	1	163755326	163755556
Chr1:163785360-163785575 UNK (216 bp)	1	163785360	163785575
Chr1:163850690-163850854 UNK (165 bp)	1	163850690	163850854
Chr1:163937643-163937840 UNK (198 bp)	1	163937643	163937840
Chr1:164123917-164124116 UNK (200 bp)	1	164123917	164124116
Chr1:164219450-164219693 UNK (244 bp)	1	164219450	164219693
Chr1:164834418-164834548 UNK (131 bp)	1	164834418	164834548
Chr1:164958682-164958886 UNK (205 bp)	1	164958682	164958886
Chr1:165160778-165160957 UNK (180 bp)	1	165160778	165160957
Chr1:165693028-165693214 UNK (187 bp)	1	165693028	165693214
Chr1:165781008-165781223 UNK (216 bp)	1	165781008	165781223
Chr1:165974215-165974360 UNK (146 bp)	1	165974215	165974360
Chr1:166226665-166226863 UNK (199 bp)	1	166226665	166226863
Chr1:166249814-166250016 UNK (203 bp)	1	166249814	166250016
Chr1:166269474-166269749 UNK (276 bp)	1	166269474	166269749
Chr1:166413577-166413869 UNK (293 bp)	1	166413577	166413869
Chr1:166501396-166501562 UNK (167 bp)	1	166501396	166501562
Chr1:166800010-166800184 UNK (175 bp)	1	166800010	166800184
Chr1:167539984-167540162 UNK (179 bp)	1	167539984	167540162
Chr1:167698841-167699074 UNK (234 bp)	1	167698841	167699074
Chr1:168158995-168159193 UNK (199 bp)	1	168158995	168159193
Chr1:168208357-168208629 UNK (273 bp)	1	168208357	168208629
Chr1:168352791-168353033 UNK (243 bp)	1	168352791	168353033
Chr1:168359153-168359337 UNK (185 bp)	1	168359153	168359337
Chr1:168660912-168661145 UNK (234 bp)	1	168660912	168661145
Chr1:169256482-169256812 UNK (331 bp)	1	169256482	169256812
Chr1:169604096-169604359 UNK (264 bp)	1	169604096	169604359
Chr1:170008257-170008569 UNK (313 bp)	1	170008257	170008569
Chr1:170090446-170090637 UNK (192 bp)	1	170090446	170090637
Chr1:170110042-170110201 UNK (160 bp)	1	170110042	170110201
Chr1:170371053-170371341 UNK (289 bp)	1	170371053	170371341
Chr1:170418468-170418694 UNK (227 bp)	1	170418468	170418694
Chr1:170859647-170859829 UNK (183 bp)	1	170859647	170859829
Chr1:171690123-171690298 UNK (176 bp)	1	171690123	171690298
Chr1:171721748-171721972 UNK (225 bp)	1	171721748	171721972
Chr1:172190811-172191064 UNK (254 bp)	1	172190811	172191064
Chr1:172319192-172319408 UNK (217 bp)	1	172319192	172319408
Chr1:172989098-172989291 UNK (194 bp)	1	172989098	172989291
Chr1:173069987-173070158 UNK (172 bp)	1	173069987	173070158
Chr1:173654213-173654409 UNK (197 bp)	1	173654213	173654409
Chr1:173730445-173730622 UNK (178 bp)	1	173730445	173730622
Chr1:173816124-173816325 UNK (202 bp)	1	173816124	173816325
Chr1:174148481-174148759 UNK (279 bp)	1	174148481	174148759
Chr1:174234893-174235094 UNK (202 bp)	1	174234893	174235094
Chr1:174354681-174354856 UNK (176 bp)	1	174354681	174354856
Chr1:174436923-174437168 UNK (246 bp)	1	174436923	174437168
Chr1:174633713-174633927 UNK (215 bp)	1	174633713	174633927
Chr1:174675033-174675327 UNK (295 bp)	1	174675033	174675327
Chr1:174675361-174675579 UNK (219 bp)	1	174675361	174675579
Chr1:174844122-174844316 UNK (195 bp)	1	174844122	174844316
Chr1:175104635-175104858 UNK (224 bp)	1	175104635	175104858
Chr1:175440162-175440345 UNK (184 bp)	1	175440162	175440345
Chr1:176258635-176258922 UNK (288 bp)	1	176258635	176258922
Chr1:176260351-176260560 UNK (210 bp)	1	176260351	176260560
Chr1:176309048-176309215 UNK (168 bp)	1	176309048	176309215
Chr1:176396220-176396379 UNK (160 bp)	1	176396220	176396379
Chr1:176633678-176633893 UNK (216 bp)	1	176633678	176633893
Chr1:176640985-176641170 UNK (186 bp)	1	176640985	176641170
Chr1:176929804-176930011 UNK (208 bp)	1	176929804	176930011
Chr1:177201793-177202029 UNK (237 bp)	1	177201793	177202029
Chr1:177565788-177565977 UNK (190 bp)	1	177565788	177565977
Chr1:177634004-177634231 UNK (228 bp)	1	177634004	177634231
Chr1:177805027-177805334 UNK (308 bp)	1	177805027	177805334
Chr1:177843707-177843894 UNK (188 bp)	1	177843707	177843894
Chr1:177844918-177845158 UNK (241 bp)	1	177844918	177845158
Chr1:178259147-178259328 UNK (182 bp)	1	178259147	178259328
Chr1:178992341-178992636 UNK (296 bp)	1	178992341	178992636
Chr1:179461176-179461364 UNK (189 bp)	1	179461176	179461364
Chr1:179647710-179647937 UNK (228 bp)	1	179647710	179647937
Chr1:179687614-179687852 UNK (239 bp)	1	179687614	179687852
Chr1:179687989-179688228 UNK (240 bp)	1	179687989	179688228
Chr1:180333878-180334085 UNK (208 bp)	1	180333878	180334085
Chr1:180335888-180336118 UNK (231 bp)	1	180335888	180336118
Chr1:180683784-180683981 UNK (198 bp)	1	180683784	180683981
Chr1:180700889-180701077 UNK (189 bp)	1	180700889	180701077
Chr1:180824432-180824511 UNK (80 bp)	1	180824432	180824511
Chr1:180871404-180871696 UNK (293 bp)	1	180871404	180871696
Chr1:181276966-181277205 UNK (240 bp)	1	181276966	181277205
Chr1:182031994-182032182 UNK (189 bp)	1	182031994	182032182
Chr1:182221572-182221798 UNK (227 bp)	1	182221572	182221798
Chr1:182981381-182981703 UNK (323 bp)	1	182981381	182981703
Chr1:183401160-183401424 UNK (265 bp)	1	183401160	183401424
Chr1:183661084-183661283 UNK (200 bp)	1	183661084	183661283
Chr1:183661759-183662049 UNK (291 bp)	1	183661759	183662049
Chr1:183662498-183662801 UNK (304 bp)	1	183662498	183662801
Chr1:184132221-184132443 UNK (223 bp)	1	184132221	184132443
Chr1:184233728-184233963 UNK (236 bp)	1	184233728	184233963
Chr1:184849255-184849465 UNK (211 bp)	1	184849255	184849465
Chr1:185003055-185003397 UNK (343 bp)	1	185003055	185003397
Chr1:185003424-185003733 UNK (310 bp)	1	185003424	185003733
Chr1:185004446-185004612 UNK (167 bp)	1	185004446	185004612
Chr1:185195362-185195517 UNK (156 bp)	1	185195362	185195517
Chr1:185254036-185254574 UNK (539 bp)	1	185254036	185254574
Chr1:185257399-185257634 UNK (236 bp)	1	185257399	185257634
Chr1:185379348-185379590 UNK (243 bp)	1	185379348	185379590
Chr1:185712416-185712566 UNK (151 bp)	1	185712416	185712566
Chr1:185890460-185890680 UNK (221 bp)	1	185890460	185890680
Chr1:185950686-185951214 UNK (529 bp)	1	185950686	185951214
Chr1:185952102-185952318 UNK (217 bp)	1	185952102	185952318
Chr1:186159433-186159595 UNK (163 bp)	1	186159433	186159595
Chr1:186160352-186160639 UNK (288 bp)	1	186160352	186160639
Chr1:186641805-186641992 UNK (188 bp)	1	186641805	186641992
Chr1:186920434-186920689 UNK (256 bp)	1	186920434	186920689
Chr1:187348409-187348654 UNK (246 bp)	1	187348409	187348654
Chr1:187515704-187515871 UNK (168 bp)	1	187515704	187515871
Chr1:187597762-187598206 UNK (445 bp)	1	187597762	187598206
Chr1:187599133-187599341 UNK (209 bp)	1	187599133	187599341
Chr1:187806180-187806359 UNK (180 bp)	1	187806180	187806359
Chr1:188032419-188032687 UNK (269 bp)	1	188032419	188032687
Chr1:188755651-188755846 UNK (196 bp)	1	188755651	188755846
Chr1:189327505-189327705 UNK (201 bp)	1	189327505	189327705
Chr1:189331005-189331237 UNK (233 bp)	1	189331005	189331237
Chr1:189759979-189760227 UNK (249 bp)	1	189759979	189760227
Chr1:190300135-190300453 UNK (319 bp)	1	190300135	190300453
Chr1:191040784-191041106 UNK (323 bp)	1	191040784	191041106
Chr1:191443173-191443364 UNK (192 bp)	1	191443173	191443364
Chr1:191623074-191623259 UNK (186 bp)	1	191623074	191623259
Chr1:192093237-192093492 UNK (256 bp)	1	192093237	192093492
Chr1:192501129-192501387 UNK (259 bp)	1	192501129	192501387
Chr1:192856483-192856744 UNK (262 bp)	1	192856483	192856744
Chr1:193445914-193446227 UNK (314 bp)	1	193445914	193446227
Chr1:193719265-193719478 UNK (214 bp)	1	193719265	193719478
Chr1:193720478-193720730 UNK (253 bp)	1	193720478	193720730
Chr1:193721510-193721816 UNK (307 bp)	1	193721510	193721816
Chr1:193873905-193874087 UNK (183 bp)	1	193873905	193874087
Chr1:193947547-193947810 UNK (264 bp)	1	193947547	193947810
Chr1:195552774-195553143 UNK (370 bp)	1	195552774	195553143
Chr1:196350825-196351098 UNK (274 bp)	1	196350825	196351098
Chr1:196352346-196352540 UNK (195 bp)	1	196352346	196352540
Chr1:196786361-196786511 UNK (151 bp)	1	196786361	196786511
Chr1:197405596-197405825 UNK (230 bp)	1	197405596	197405825
Chr1:197532960-197533287 UNK (328 bp)	1	197532960	197533287
Chr1:197566037-197566242 UNK (206 bp)	1	197566037	197566242
Chr1:197708864-197709146 UNK (283 bp)	1	197708864	197709146
Chr1:197831347-197831521 UNK (175 bp)	1	197831347	197831521
Chr1:198037064-198037344 UNK (281 bp)	1	198037064	198037344
Chr1:198039699-198039892 UNK (194 bp)	1	198039699	198039892
Chr1:198227794-198228081 UNK (288 bp)	1	198227794	198228081
Chr1:198250351-198250547 UNK (197 bp)	1	198250351	198250547
Chr1:198311795-198311964 UNK (170 bp)	1	198311795	198311964
Chr1:198315200-198315411 UNK (212 bp)	1	198315200	198315411
Chr1:199606784-199606985 UNK (202 bp)	1	199606784	199606985
Chr1:199648576-199648762 UNK (187 bp)	1	199648576	199648762
Chr1:199649243-199649532 UNK (290 bp)	1	199649243	199649532
Chr1:199731639-199731821 UNK (183 bp)	1	199731639	199731821
Chr1:199883622-199883854 UNK (233 bp)	1	199883622	199883854
Chr1:200187760-200187958 UNK (199 bp)	1	200187760	200187958
Chr1:200798021-200798268 UNK (248 bp)	1	200798021	200798268
Chr1:201237785-201238029 UNK (245 bp)	1	201237785	201238029
Chr1:201239166-201239358 UNK (193 bp)	1	201239166	201239358
Chr1:201699939-201700125 UNK (187 bp)	1	201699939	201700125
Chr1:202262038-202262229 UNK (192 bp)	1	202262038	202262229
Chr1:202468181-202468391 UNK (211 bp)	1	202468181	202468391
Chr1:203258567-203258794 UNK (228 bp)	1	203258567	203258794
Chr1:203482625-203482827 UNK (203 bp)	1	203482625	203482827
Chr1:204012581-204012741 UNK (161 bp)	1	204012581	204012741
Chr1:204240673-204240934 UNK (262 bp)	1	204240673	204240934
Chr1:205401969-205402284 UNK (316 bp)	1	205401969	205402284
Chr1:206063789-206064030 UNK (242 bp)	1	206063789	206064030
Chr1:206330758-206330948 UNK (191 bp)	1	206330758	206330948
Chr1:208703664-208703941 UNK (278 bp)	1	208703664	208703941
Chr1:208704595-208704897 UNK (303 bp)	1	208704595	208704897
Chr1:209449143-209449373 UNK (231 bp)	1	209449143	209449373
Chr1:209450658-209450836 UNK (179 bp)	1	209450658	209450836
Chr1:210078030-210078273 UNK (244 bp)	1	210078030	210078273
Chr1:210954324-210954517 UNK (194 bp)	1	210954324	210954517
Chr1:210982626-210982820 UNK (195 bp)	1	210982626	210982820
Chr1:210983331-210983518 UNK (188 bp)	1	210983331	210983518
Chr1:210986250-210986550 UNK (301 bp)	1	210986250	210986550
Chr1:211403898-211404194 UNK (297 bp)	1	211403898	211404194
Chr1:211457920-211458253 UNK (334 bp)	1	211457920	211458253
Chr1:211458332-211458509 UNK (178 bp)	1	211458332	211458509
Chr1:211954666-211954909 UNK (244 bp)	1	211954666	211954909
Chr1:212353989-212354160 UNK (172 bp)	1	212353989	212354160
Chr1:212392761-212393061 UNK (301 bp)	1	212392761	212393061
Chr1:212659298-212659478 UNK (181 bp)	1	212659298	212659478
Chr1:212660603-212660792 UNK (190 bp)	1	212660603	212660792
Chr1:212661459-212661727 UNK (269 bp)	1	212661459	212661727
Chr1:212662748-212662930 UNK (183 bp)	1	212662748	212662930
Chr1:213114865-213115130 UNK (266 bp)	1	213114865	213115130
Chr1:213216717-213216834 UNK (118 bp)	1	213216717	213216834
Chr1:213218537-213218734 UNK (198 bp)	1	213218537	213218734
Chr1:213357958-213358141 UNK (184 bp)	1	213357958	213358141
Chr1:213625736-213625987 UNK (252 bp)	1	213625736	213625987
Chr1:213629057-213629258 UNK (202 bp)	1	213629057	213629258
Chr1:213807051-213807245 UNK (195 bp)	1	213807051	213807245
Chr1:213808634-213808830 UNK (197 bp)	1	213808634	213808830
Chr1:214869395-214869410 UNK (16 bp)	1	214869395	214869410
Chr1:215259938-215260113 UNK (176 bp)	1	215259938	215260113
Chr1:215410786-215410971 UNK (186 bp)	1	215410786	215410971
Chr1:215412649-215412882 UNK (234 bp)	1	215412649	215412882
Chr1:215413411-215413690 UNK (280 bp)	1	215413411	215413690
Chr1:215415389-215415563 UNK (175 bp)	1	215415389	215415563
Chr1:215804174-215804338 UNK (165 bp)	1	215804174	215804338
Chr1:215951069-215951385 UNK (317 bp)	1	215951069	215951385
Chr1:216012616-216012927 UNK (312 bp)	1	216012616	216012927
Chr1:218012452-218012688 UNK (237 bp)	1	218012452	218012688
Chr1:218026820-218026912 UNK (93 bp)	1	218026820	218026912
Chr1:218427988-218428385 UNK (398 bp)	1	218427988	218428385
Chr1:218594466-218594628 UNK (163 bp)	1	218594466	218594628
Chr1:218595512-218595809 UNK (298 bp)	1	218595512	218595809
Chr1:219104151-219104371 UNK (221 bp)	1	219104151	219104371
Chr1:219775657-219775838 UNK (182 bp)	1	219775657	219775838
Chr1:219845045-219845226 UNK (182 bp)	1	219845045	219845226
Chr1:219866396-219866595 UNK (200 bp)	1	219866396	219866595
Chr1:219867698-219867917 UNK (220 bp)	1	219867698	219867917
Chr1:220996583-220996764 UNK (182 bp)	1	220996583	220996764
Chr1:221261601-221261792 UNK (192 bp)	1	221261601	221261792
Chr1:221388289-221388481 UNK (193 bp)	1	221388289	221388481
Chr1:221966450-221966653 UNK (204 bp)	1	221966450	221966653
Chr1:221976984-221977297 UNK (314 bp)	1	221976984	221977297
Chr1:222384130-222384368 UNK (239 bp)	1	222384130	222384368
Chr1:222384396-222384613 UNK (218 bp)	1	222384396	222384613
Chr1:222874643-222874854 UNK (212 bp)	1	222874643	222874854
Chr1:223027254-223027439 UNK (186 bp)	1	223027254	223027439
Chr1:223169124-223169335 UNK (212 bp)	1	223169124	223169335
Chr1:223399227-223399451 UNK (225 bp)	1	223399227	223399451
Chr1:223400954-223401157 UNK (204 bp)	1	223400954	223401157
Chr1:224249776-224249863 UNK (88 bp)	1	224249776	224249863
Chr1:224941688-224941854 UNK (167 bp)	1	224941688	224941854
Chr1:224976004-224976231 UNK (228 bp)	1	224976004	224976231
Chr1:224976507-224976698 UNK (192 bp)	1	224976507	224976698
Chr1:225103382-225103597 UNK (216 bp)	1	225103382	225103597
Chr1:225127172-225127479 UNK (308 bp)	1	225127172	225127479
Chr1:225574663-225574905 UNK (243 bp)	1	225574663	225574905
Chr1:226434261-226434351 UNK (91 bp)	1	226434261	226434351
Chr1:226927722-226927955 UNK (234 bp)	1	226927722	226927955
Chr1:226928811-226928984 UNK (174 bp)	1	226928811	226928984
Chr1:226929273-226929564 UNK (292 bp)	1	226929273	226929564
Chr1:227232488-227232676 UNK (189 bp)	1	227232488	227232676
Chr1:227554254-227554438 UNK (185 bp)	1	227554254	227554438
Chr1:228707509-228707700 UNK (192 bp)	1	228707509	228707700
Chr1:228892388-228892608 UNK (221 bp)	1	228892388	228892608
Chr1:229179678-229179965 UNK (288 bp)	1	229179678	229179965
Chr1:229394507-229394703 UNK (197 bp)	1	229394507	229394703
Chr1:229417399-229417597 UNK (199 bp)	1	229417399	229417597
Chr1:229417839-229418093 UNK (255 bp)	1	229417839	229418093
Chr1:230603203-230603390 UNK (188 bp)	1	230603203	230603390
Chr1:231079719-231079987 UNK (269 bp)	1	231079719	231079987
Chr1:231587397-231587463 UNK (67 bp)	1	231587397	231587463
Chr1:231646225-231646404 UNK (180 bp)	1	231646225	231646404
Chr1:231830553-231830860 UNK (308 bp)	1	231830553	231830860
Chr1:231832482-231832673 UNK (192 bp)	1	231832482	231832673
Chr1:231834155-231834499 UNK (345 bp)	1	231834155	231834499
Chr1:231947417-231947620 UNK (204 bp)	1	231947417	231947620
Chr1:232231543-232231761 UNK (219 bp)	1	232231543	232231761
Chr1:232232029-232232289 UNK (261 bp)	1	232232029	232232289
Chr1:232869671-232869866 UNK (196 bp)	1	232869671	232869866
Chr1:233925554-233925755 UNK (202 bp)	1	233925554	233925755
Chr1:235149122-235149301 UNK (180 bp)	1	235149122	235149301
Chr1:235384025-235384290 UNK (266 bp)	1	235384025	235384290
Chr1:235384540-235384746 UNK (207 bp)	1	235384540	235384746
Chr1:235386370-235386680 UNK (311 bp)	1	235386370	235386680
Chr1:235386747-235386936 UNK (190 bp)	1	235386747	235386936
Chr1:236187654-236187841 UNK (188 bp)	1	236187654	236187841
Chr1:236508219-236508409 UNK (191 bp)	1	236508219	236508409
Chr1:237020715-237021001 UNK (287 bp)	1	237020715	237021001
Chr1:237022484-237022716 UNK (233 bp)	1	237022484	237022716
Chr1:237127584-237127806 UNK (223 bp)	1	237127584	237127806
Chr1:238042793-238043100 UNK (308 bp)	1	238042793	238043100
Chr1:238635163-238635354 UNK (192 bp)	1	238635163	238635354
Chr1:238684156-238684400 UNK (245 bp)	1	238684156	238684400
Chr1:239030902-239031149 UNK (248 bp)	1	239030902	239031149
Chr1:239103622-239103896 UNK (275 bp)	1	239103622	239103896
Chr1:239104060-239104378 UNK (319 bp)	1	239104060	239104378
Chr1:239105421-239105623 UNK (203 bp)	1	239105421	239105623
Chr1:239627270-239627493 UNK (224 bp)	1	239627270	239627493
Chr1:239641181-239641519 UNK (339 bp)	1	239641181	239641519
Chr1:240896877-240897103 UNK (227 bp)	1	240896877	240897103
Chr1:241437401-241437585 UNK (185 bp)	1	241437401	241437585
Chr1:242459492-242459691 UNK (200 bp)	1	242459492	242459691
Chr1:242615706-242615872 UNK (167 bp)	1	242615706	242615872
Chr1:243808307-243808591 UNK (285 bp)	1	243808307	243808591
Chr1:244475552-244475729 UNK (178 bp)	1	244475552	244475729
Chr1:244492694-244492985 UNK (292 bp)	1	244492694	244492985
Chr1:244661781-244661961 UNK (181 bp)	1	244661781	244661961
Chr1:245822300-245822480 UNK (181 bp)	1	245822300	245822480
Chr1:246409072-246409284 UNK (213 bp)	1	246409072	246409284
Chr1:246410767-246410918 UNK (152 bp)	1	246410767	246410918
Chr1:246589189-246589359 UNK (171 bp)	1	246589189	246589359
Chr1:246715002-246715234 UNK (233 bp)	1	246715002	246715234
Chr1:246716047-246716269 UNK (223 bp)	1	246716047	246716269
Chr1:246718846-246719027 UNK (182 bp)	1	246718846	246719027
Chr1:246993282-246993393 UNK (112 bp)	1	246993282	246993393
Chr1:247507965-247508155 UNK (191 bp)	1	247507965	247508155
Chr1:247632165-247632476 UNK (312 bp)	1	247632165	247632476
Chr1:247809219-247809448 UNK (230 bp)	1	247809219	247809448
Chr1:247955010-247955215 UNK (206 bp)	1	247955010	247955215
Chr1:247956322-247956587 UNK (266 bp)	1	247956322	247956587
Chr1:247986383-247986577 UNK (195 bp)	1	247986383	247986577
Chr1:248068219-248068496 UNK (278 bp)	1	248068219	248068496
Chr1:248069922-248070090 UNK (169 bp)	1	248069922	248070090
Chr1:248071775-248072024 UNK (250 bp)	1	248071775	248072024
Chr1:248077202-248077431 UNK (230 bp)	1	248077202	248077431
Chr1:248168174-248168434 UNK (261 bp)	1	248168174	248168434
Chr1:248168881-248169303 UNK (423 bp)	1	248168881	248169303
Chr1:248201501-248201701 UNK (201 bp)	1	248201501	248201701
Chr1:248253855-248254126 UNK (272 bp)	1	248253855	248254126
Chr1:248725956-248726158 UNK (203 bp)	1	248725956	248726158
Chr1:248766967-248767147 UNK (181 bp)	1	248766967	248767147
Chr1:248767246-248767693 UNK (448 bp)	1	248767246	248767693
Chr1:248945788-248945830 UNK (43 bp)	1	248945788	248945830
Chr1:248946282-248946339 UNK (58 bp)	1	248946282	248946339
